READ_ID,CAMERA_ID,CAMERA_LOCATION,MAPPED_LOCATION_ID,LATITUDE,LONGITUDE,DIRECTION,READ_TIMESTAMP,PLATE_TEXT,OCR_CONFIDENCE,VEHICLE_CLASS,IMAGE_REF,HOTLIST_HIT,LINKED_CASE,CLASSIFICATION
ANPR-00001,CAM-CBE-DBROAD-05,"D B Road, R S Puram, Coimbatore",LOC-006,11.0045,76.949,IN,2025-08-10T07:38:48Z,TN18HJ6604,0.72,MCWG,CAM-CBE-DBROAD-05/20250810/00037.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00002,CAM-CHN-CENTRAL-04,Chennai Central approach road,LOC-001,13.0827,80.2707,IN,2025-08-10T09:40:12Z,TN01AB1234,0.97,LMV,CAM-CHN-CENTRAL-04/20250810/00001.jpg,Y,CASE-101,SYNTHETIC DEMONSTRATION DATA
ANPR-00003,CAM-GNDY-IE-07,"Industrial Estate Main Road, Guindy",LOC-003,13.0067,80.2206,IN,2025-08-10T10:24:38Z,TN01AB1234,0.93,LMV,CAM-GNDY-IE-07/20250810/00002.jpg,Y,CASE-101,SYNTHETIC DEMONSTRATION DATA
ANPR-00004,CAM-TNGR-USMAN-11,"Usman Road, T Nagar",LOC-002,13.0418,80.2341,OUT,2025-08-10T11:41:28Z,TN05CH2290,0.83,MCWG,CAM-TNGR-USMAN-11/20250810/00027.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00005,CAM-PORT-RAJAJI-02,"Rajaji Salai, Chennai Port",LOC-005,13.1067,80.2925,OUT,2025-08-10T14:36:17Z,TN05CH2290,0.81,MCWG,CAM-PORT-RAJAJI-02/20250810/00015.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00006,CAM-CHN-CENTRAL-04,Chennai Central approach road,LOC-001,13.0827,80.2707,IN,2025-08-10T14:50:54Z,TN11EX9032,0.92,HGV,CAM-CHN-CENTRAL-04/20250810/00033.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00007,CAM-PORT-RAJAJI-02,"Rajaji Salai, Chennai Port",LOC-005,13.1067,80.2925,IN,2025-08-10T19:22:49Z,TN11EX9032,0.93,MCWG,CAM-PORT-RAJAJI-02/20250810/00011.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00008,CAM-TNGR-USMAN-11,"Usman Road, T Nagar",LOC-002,13.0418,80.2341,IN,2025-08-10T21:24:49Z,TN37LQ8820,0.88,MCWG,CAM-TNGR-USMAN-11/20250810/00029.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00009,CAM-GNDY-IE-07,"Industrial Estate Main Road, Guindy",LOC-003,13.0067,80.2206,OUT,2025-08-11T06:37:19Z,TN21KM3345,0.86,LMV,CAM-GNDY-IE-07/20250811/00009.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00010,CAM-GNDY-IE-07,"Industrial Estate Main Road, Guindy",LOC-003,13.0067,80.2206,OUT,2025-08-11T06:40:08Z,KA03MN4412,0.91,HGV,CAM-GNDY-IE-07/20250811/00024.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00011,CAM-CHN-CENTRAL-04,Chennai Central approach road,LOC-001,13.0827,80.2707,IN,2025-08-11T11:01:08Z,TN14FG1177,0.84,MCWG,CAM-CHN-CENTRAL-04/20250811/00036.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00012,CAM-CBE-DBROAD-05,"D B Road, R S Puram, Coimbatore",LOC-006,11.0045,76.949,OUT,2025-08-11T21:11:45Z,AP09PQ7756,0.93,LMV,CAM-CBE-DBROAD-05/20250811/00013.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00013,CAM-TNGR-USMAN-11,"Usman Road, T Nagar",LOC-002,13.0418,80.2341,IN,2025-08-12T08:21:35Z,TN11EX9032,0.96,HGV,CAM-TNGR-USMAN-11/20250812/00025.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00014,CAM-CHN-CENTRAL-04,Chennai Central approach road,LOC-001,13.0827,80.2707,OUT,2025-08-12T12:13:27Z,AP09PQ7756,0.77,HGV,CAM-CHN-CENTRAL-04/20250812/00038.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00015,CAM-CBE-DBROAD-05,"D B Road, R S Puram, Coimbatore",LOC-006,11.0045,76.949,OUT,2025-08-12T12:20:26Z,TN02BK7741,0.72,HGV,CAM-CBE-DBROAD-05/20250812/00041.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00016,CAM-GNDY-IE-07,"Industrial Estate Main Road, Guindy",LOC-003,13.0067,80.2206,IN,2025-08-12T12:30:05Z,TN07XY4455,0.95,LMV,CAM-GNDY-IE-07/20250812/00003.jpg,Y,CASE-101,SYNTHETIC DEMONSTRATION DATA
ANPR-00017,CAM-TNGR-USMAN-11,"Usman Road, T Nagar",LOC-002,13.0418,80.2341,IN,2025-08-12T16:43:52Z,AP09PQ7756,0.74,LMV,CAM-TNGR-USMAN-11/20250812/00014.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00018,CAM-PORT-RAJAJI-02,"Rajaji Salai, Chennai Port",LOC-005,13.1067,80.2925,OUT,2025-08-12T19:23:15Z,TN02BK7741,0.9,HGV,CAM-PORT-RAJAJI-02/20250812/00042.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00019,CAM-CHN-CENTRAL-04,Chennai Central approach road,LOC-001,13.0827,80.2707,OUT,2025-08-13T15:27:26Z,KA03MN4412,0.88,LMV,CAM-CHN-CENTRAL-04/20250813/00023.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00020,CAM-PORT-RAJAJI-02,"Rajaji Salai, Chennai Port",LOC-005,13.1067,80.2925,IN,2025-08-13T16:34:09Z,TN21KM3345,0.76,LMV,CAM-PORT-RAJAJI-02/20250813/00017.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00021,CAM-TNGR-USMAN-11,"Usman Road, T Nagar",LOC-002,13.0418,80.2341,OUT,2025-08-13T17:36:48Z,AP09PQ7756,0.79,MCWG,CAM-TNGR-USMAN-11/20250813/00012.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00022,CAM-PORT-RAJAJI-02,"Rajaji Salai, Chennai Port",LOC-005,13.1067,80.2925,IN,2025-08-18T06:21:24Z,TN10DA5518,0.92,HGV,CAM-PORT-RAJAJI-02/20250818/00026.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00023,CAM-CHN-CENTRAL-04,Chennai Central approach road,LOC-001,13.0827,80.2707,IN,2025-08-18T10:05:41Z,TN01AB1234,0.96,LMV,CAM-CHN-CENTRAL-04/20250818/00004.jpg,Y,CASE-202,SYNTHETIC DEMONSTRATION DATA
ANPR-00024,CAM-TNGR-USMAN-11,"Usman Road, T Nagar",LOC-002,13.0418,80.2341,OUT,2025-08-18T20:00:14Z,TN02BK7741,0.74,HGV,CAM-TNGR-USMAN-11/20250818/00010.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00025,CAM-CBE-DBROAD-05,"D B Road, R S Puram, Coimbatore",LOC-006,11.0045,76.949,OUT,2025-08-18T20:35:13Z,TN10DA5518,0.74,LMV,CAM-CBE-DBROAD-05/20250818/00016.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00026,CAM-TNGR-USMAN-11,"Usman Road, T Nagar",LOC-002,13.0418,80.2341,OUT,2025-08-19T14:00:52Z,TN09KL8899,0.88,LMV,CAM-TNGR-USMAN-11/20250819/00005.jpg,Y,CASE-202,SYNTHETIC DEMONSTRATION DATA
ANPR-00027,CAM-CHN-CENTRAL-04,Chennai Central approach road,LOC-001,13.0827,80.2707,OUT,2025-08-22T08:17:12Z,AP09PQ7756,0.75,LMV,CAM-CHN-CENTRAL-04/20250822/00034.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00028,CAM-GNDY-IE-07,"Industrial Estate Main Road, Guindy",LOC-003,13.0067,80.2206,IN,2025-08-22T15:53:59Z,TN37LQ8820,0.82,LMV,CAM-GNDY-IE-07/20250822/00040.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00029,CAM-GNDY-IE-07,"Industrial Estate Main Road, Guindy",LOC-003,13.0067,80.2206,OUT,2025-08-22T17:51:19Z,TN18HJ6604,0.75,LMV,CAM-GNDY-IE-07/20250822/00030.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00030,CAM-CHN-CENTRAL-04,Chennai Central approach road,LOC-001,13.0827,80.2707,IN,2025-08-22T18:01:10Z,TN02BK7741,0.98,LMV,CAM-CHN-CENTRAL-04/20250822/00018.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00031,CAM-CBE-DBROAD-05,"D B Road, R S Puram, Coimbatore",LOC-006,11.0045,76.949,OUT,2025-08-25T08:22:01Z,TN37LQ8820,0.76,LMV,CAM-CBE-DBROAD-05/20250825/00019.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00032,CAM-GNDY-IE-07,"Industrial Estate Main Road, Guindy",LOC-003,13.0067,80.2206,OUT,2025-08-25T12:48:59Z,TN14FG1177,0.77,LMV,CAM-GNDY-IE-07/20250825/00020.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00033,CAM-PORT-RAJAJI-02,"Rajaji Salai, Chennai Port",LOC-005,13.1067,80.2925,IN,2025-08-25T14:34:17Z,TN21KM3345,0.77,MCWG,CAM-PORT-RAJAJI-02/20250825/00031.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00034,CAM-PORT-RAJAJI-02,"Rajaji Salai, Chennai Port",LOC-005,13.1067,80.2925,IN,2025-08-25T15:10:19Z,TN01AB1234,0.91,LMV,CAM-PORT-RAJAJI-02/20250825/00006.jpg,Y,CASE-305,SYNTHETIC DEMONSTRATION DATA
ANPR-00035,CAM-CHN-CENTRAL-04,Chennai Central approach road,LOC-001,13.0827,80.2707,OUT,2025-08-25T16:42:57Z,TN10DA5518,0.96,HGV,CAM-CHN-CENTRAL-04/20250825/00022.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00036,CAM-CBE-DBROAD-05,"D B Road, R S Puram, Coimbatore",LOC-006,11.0045,76.949,IN,2025-08-26T09:30:47Z,TN22CD3311,0.94,LMV,CAM-CBE-DBROAD-05/20250826/00007.jpg,Y,CASE-407,SYNTHETIC DEMONSTRATION DATA
ANPR-00037,CAM-CBE-DBROAD-05,"D B Road, R S Puram, Coimbatore",LOC-006,11.0045,76.949,OUT,2025-08-26T09:41:06Z,TN38EF7712,0.9,LMV,CAM-CBE-DBROAD-05/20250826/00008.jpg,Y,CASE-407,SYNTHETIC DEMONSTRATION DATA
ANPR-00038,CAM-PORT-RAJAJI-02,"Rajaji Salai, Chennai Port",LOC-005,13.1067,80.2925,OUT,2025-08-26T11:33:34Z,TN14FG1177,0.96,LMV,CAM-PORT-RAJAJI-02/20250826/00028.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00039,CAM-CBE-DBROAD-05,"D B Road, R S Puram, Coimbatore",LOC-006,11.0045,76.949,IN,2025-08-26T11:44:34Z,TN14FG1177,0.74,LMV,CAM-CBE-DBROAD-05/20250826/00021.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00040,CAM-GNDY-IE-07,"Industrial Estate Main Road, Guindy",LOC-003,13.0067,80.2206,OUT,2025-08-26T13:47:35Z,TN37LQ8820,0.96,LMV,CAM-GNDY-IE-07/20250826/00039.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00041,CAM-TNGR-USMAN-11,"Usman Road, T Nagar",LOC-002,13.0418,80.2341,OUT,2025-08-26T17:07:39Z,TN05CH2290,0.79,HGV,CAM-TNGR-USMAN-11/20250826/00032.jpg,N,,SYNTHETIC DEMONSTRATION DATA
ANPR-00042,CAM-TNGR-USMAN-11,"Usman Road, T Nagar",LOC-002,13.0418,80.2341,OUT,2025-08-26T18:39:43Z,TN14FG1177,0.99,LMV,CAM-TNGR-USMAN-11/20250826/00035.jpg,N,,SYNTHETIC DEMONSTRATION DATA
