EVIDENCE_ID,CASE_ID,EVIDENCE_TYPE,SOURCE,TIMESTAMP,UPLOADED_BY,VERIFICATION_STATUS,PROCESSING_STATUS,OBJECT_FORMAT,TEXT_ORIGIN,OCR_APPLIED,SOURCE_DOCUMENT_FILE,CLASSIFICATION
EV-1024,CASE-101,FIR,Police Report,2025-08-10T18:20:00Z,INV-2201,HUMAN_VERIFIED,RELATIONSHIPS_CANDIDATE,TXT,NATIVE_TEXT,FALSE,01_FIR/FIR_0412-2025_CASE-101_Chennai-Central.txt,SYNTHETIC DEMONSTRATION DATA
EV-1025,CASE-101,CDR,Telecom Record (synthetic),2025-08-12T11:05:00Z,ANL-3310,UNVERIFIED,ENTITIES_FOUND,TXT,NATIVE_TEXT,FALSE,03_CDR_CALL_DETAIL_RECORDS/CDR_9840012345_2025-08-10_to_2025-08-14.csv,SYNTHETIC DEMONSTRATION DATA
EV-1026,CASE-101,SURVEILLANCE_REPORT,Field Observation Log (synthetic),2025-08-12T12:40:00Z,INV-2201,UNVERIFIED,EXTRACTED,TXT,NATIVE_TEXT,FALSE,05_SURVEILLANCE_REPORTS/SURVEILLANCE-REPORT_OP-KAVAL-07_CASE-101_Guindy.txt,SYNTHETIC DEMONSTRATION DATA
EV-2041,CASE-202,POLICE_REPORT,Police Report,2025-08-18T10:30:00Z,INV-2201,HUMAN_VERIFIED,RELATIONSHIPS_CANDIDATE,TXT,NATIVE_TEXT,FALSE,02_POLICE_REPORT/POLICE-REPORT_Cr-0518-2025_CASE-202_Chennai-Central.txt,SYNTHETIC DEMONSTRATION DATA
EV-2042,CASE-202,IMAGE,CCTV Still Placeholder (synthetic),2025-08-18T10:07:00Z,ANL-3310,UNVERIFIED,UPLOADED,PNG,PREPROCESSED_SYNTHETIC_TEXT,FALSE,07_IMAGE_EVIDENCE/EV-2042_CCTV-still_Chennai-Central_2025-08-18T1007Z.png,SYNTHETIC DEMONSTRATION DATA
EV-2043,CASE-202,INTELLIGENCE_REPORT,Intelligence Note (synthetic),2025-08-19T09:00:00Z,ANL-3310,UNVERIFIED,EXTRACTED,TXT,NATIVE_TEXT,FALSE,06_INTELLIGENCE_REPORTS/INTELLIGENCE-REPORT_INT-2025-0442_CASE-202.txt,SYNTHETIC DEMONSTRATION DATA
EV-3070,CASE-305,FINANCIAL_RECORD,Bank Statement Extract (synthetic),2025-08-22T20:00:00Z,ANL-3310,UNVERIFIED,ENTITIES_FOUND,CSV,NATIVE_TEXT,FALSE,04_FINANCIAL_RECORDS/BANK-STATEMENT_AC-33901122_Suresh-Balan_Aug2025.csv,SYNTHETIC DEMONSTRATION DATA
EV-3071,CASE-305,INTELLIGENCE_REPORT,Intelligence Note (synthetic),2025-08-25T16:45:00Z,ANL-3310,UNVERIFIED,EXTRACTED,TXT,NATIVE_TEXT,FALSE,06_INTELLIGENCE_REPORTS/INTELLIGENCE-REPORT_INT-2025-0517_CASE-305.txt,SYNTHETIC DEMONSTRATION DATA
EV-4090,CASE-407,POLICE_REPORT,Police Report,2025-08-26T11:00:00Z,ANL-3310,UNVERIFIED,EXTRACTED,TXT,NATIVE_TEXT,FALSE,02_POLICE_REPORT/POLICE-REPORT_Enq-0134-2025_CASE-407_Coimbatore.txt,SYNTHETIC DEMONSTRATION DATA
EV-5120,CASE-512,FIR,Anonymous Tip Register (synthetic),2025-09-01T08:15:00Z,INV-2201,UNVERIFIED,EXTRACTED,TXT,NATIVE_TEXT,FALSE,01_FIR/FIR_0731-2025_CASE-512_Anonymous-Tip.txt,SYNTHETIC DEMONSTRATION DATA
